Season,TeamID,odds,pct,act_pct
2018,1389,65000,0.0015360983102918587,0.0013210674352178476
2018,1172,75000,0.0013315579227696406,0.0011451596542301184
2018,1113,87500,0.001141552511415525,9.817521693228524e-4
2018,1380,110000,9.082652134423251e-4,7.81121617008918e-4
2018,1308,125000,7.993605115907274e-4,6.874619507008943e-4
2018,NA,200000,4.997501249375312e-4,4.297925538864662e-4
2018,1376,300000,3.332222592469177e-4,2.865761080729153e-4
2018,1158,400000,2.4993751562109475e-4,2.149499875848085e-4
2018,1422,400000,2.4993751562109475e-4,2.149499875848085e-4
2018,1137,500000,1.999600079984003e-4,1.7196858634809412e-4
2018,1233,999999,9.999010098000297e-5,8.59929767279858e-5
2018,1168,999999,9.999010098000297e-5,8.59929767279858e-5
2018,1372,999999,9.999010098000297e-5,8.59929767279858e-5
2018,1335,999999,9.999010098000297e-5,8.59929767279858e-5
2018,1411,999999,9.999010098000297e-5,8.59929767279858e-5
2018,1252,999999,9.999010098000297e-5,8.59929767279858e-5
2018,1298,999999,9.999010098000297e-5,8.59929767279858e-5
2018,1347,999999,9.999010098000297e-5,8.59929767279858e-5
2018,1254,999999,9.999010098000297e-5,8.59929767279858e-5
2018,1209,999999,9.999010098000297e-5,8.59929767279858e-5
2018,1284,999999,9.999010098000297e-5,8.59929767279858e-5
2018,1460,999999,9.999010098000297e-5,8.59929767279858e-5
2017,1314,535,0.15748031496062992,0.1304083062742678
2017,1211,925,0.0975609756097561,0.08078953608210737
2017,1332,2800,0.034482758620689655,0.02855492223591726
2017,1376,28000,0.0035587188612099642,0.0029469492698989343
2017,1242,875,0.10256410256410256,0.08493258921452312
2017,1246,1250,0.07407407407407407,0.061340203321600034
2017,1196,6300,0.015625,0.012938949138150009
2017,1462,52000,0.0019193857965451055,0.0015894294526710183
2017,1112,1100,0.08333333333333333,0.06900772873680004
2017,1417,1450,0.06451612903225806,0.053425338376877456
2017,1276,6800,0.014492753623188406,0.012001344128139139
2017,1458,8300,0.011904761904761904,0.009858246962400006
2017,1452,3650,0.02666666666666667,0.022082473195776015
2017,1124,5200,0.018867924528301886,0.01562439141210567
2017,1345,4000,0.024390243902439025,0.020197384020526843
2017,1139,8300,0.011904761904761904,0.009858246962400006
2017,1437,820,0.10869565217391304,0.09001008096104353
2017,1181,850,0.10526315789473684,0.08716765735174742
2017,1257,1900,0.05,0.04140463724208003
2017,1199,3750,0.025974025974025976,0.021508902463418196
2017,1455,8000,0.012345679012345678,0.010223367220266674
2017,1235,5300,0.018518518518518517,0.015335050830400009
2017,1323,7500,0.013157894736842105,0.010895957168968427
2017,1438,4400,0.022222222222222223,0.018402060996480014
2017,1388,10500,0.009433962264150943,0.007812195706052835
2017,1277,17000,0.005847953216374269,0.0048426476306526346
2017,1153,12500,0.007936507936507936,0.006572164641600004
2017,1348,30000,0.0033222591362126247,0.002751138687181397
2017,1292,40000,0.0024937655860349127,0.0020650691891311735
2017,1425,52000,0.0019193857965451055,0.0015894294526710183
2017,1116,31500,0.0031645569620253164,0.002620546660891141
2017,1321,55000,0.0018148820326678765,0.0015028906439956452
2017,1374,4500,0.021739130434782608,0.018002016192208706
2017,1268,16500,0.006024096385542169,0.0049885105110939795
2017,1329,17000,0.005847953216374269,0.0048426476306526346
2017,1274,23000,0.004329004329004329,0.003584817077236366
2017,1278,25000,0.00398406374501992,0.0032991742822374524
2017,1166,32500,0.003067484662576687,0.00254016179399264
2017,1439,34000,0.002932551319648094,0.0024284244716762477
2017,1371,34000,0.002932551319648094,0.0024284244716762477
2017,1173,35500,0.0028089887640449437,0.0023261032158471925
2017,1435,37000,0.0026954177897574125,0.002232055916015096
2017,1433,40000,0.0024937655860349127,0.0020650691891311735
2017,1243,41500,0.002403846153846154,0.001990607559715386
2017,1266,44500,0.002242152466367713,0.001856710190227804
2017,1448,50000,0.001996007984031936,0.0016528797302227554
2017,1344,75000,0.0013315579227696406,0.0011026534551818916
2017,1305,80000,0.0012484394506866417,0.001033823651487641
2017,1343,100000,9.99000999000999e-4,8.272654793622383e-4
2017,1190,150000,6.662225183211193e-4,5.516940338718191e-4
2017,1195,500000,1.999600079984003e-4,1.6558543188194372e-4
2017,1308,500000,1.999600079984003e-4,1.6558543188194372e-4
2017,1137,500000,1.999600079984003e-4,1.6558543188194372e-4
2017,1423,500000,1.999600079984003e-4,1.6558543188194372e-4
2017,1436,500000,1.999600079984003e-4,1.6558543188194372e-4
2017,1457,500000,1.999600079984003e-4,1.6558543188194372e-4
2017,1411,999999,9.999010098000297e-5,8.280107717751947e-5
2017,1355,999999,9.999010098000297e-5,8.280107717751947e-5
2017,1233,999999,9.999010098000297e-5,8.280107717751947e-5
2017,1245,999999,9.999010098000297e-5,8.280107717751947e-5
2017,1240,999999,9.999010098000297e-5,8.280107717751947e-5
2017,NA,999999,9.999010098000297e-5,8.280107717751947e-5
2017,1300,999999,9.999010098000297e-5,8.280107717751947e-5
2017,1309,999999,9.999010098000297e-5,8.280107717751947e-5
2017,1315,999999,9.999010098000297e-5,8.280107717751947e-5
2017,1297,999999,9.999010098000297e-5,8.280107717751947e-5
2017,1407,999999,9.999010098000297e-5,8.280107717751947e-5
2017,1413,999999,9.999010098000297e-5,8.280107717751947e-5
2016,1437,1500,0.0625,0.05219116894696413
2016,1314,580,0.14705882352941177,0.122802750463445
2016,1328,1600,0.058823529411764705,0.049121100185378005
2016,1393,27500,0.0036231884057971015,0.0030255750114182105
2016,1242,485,0.17094017094017094,0.14274507746178225
2016,1438,900,0.1,0.08350587031514262
2016,1332,2000,0.047619047619047616,0.0397647001500679
2016,1323,16000,0.006211180124223602,0.005186700019574075
2016,1231,5000,0.0196078431372549,0.016373700061792666
2016,1211,11500,0.008620689655172414,0.00719878192371919
2016,1401,3400,0.02857142857142857,0.023858820090040745
2016,1274,5300,0.018518518518518517,0.01546405005835974
2016,1181,3300,0.029411764705882353,0.024560550092689003
2016,1268,4500,0.021739130434782608,0.018153450068509262
2016,1235,6800,0.014492753623188406,0.012102300045672842
2016,1458,17500,0.005681818181818182,0.0047446517224512845
2016,1246,1200,0.07692307692307693,0.06423528485780201
2016,1462,3300,0.029411764705882353,0.024560550092689003
2016,1428,10000,0.009900990099009901,0.008267907951994318
2016,1455,12500,0.007936507936507936,0.006627450025011318
2016,1163,10000,0.009900990099009901,0.008267907951994318
2016,1234,10000,0.009900990099009901,0.008267907951994318
2016,1139,27500,0.0036231884057971015,0.0030255750114182105
2016,1344,32500,0.003067484662576687,0.002561529764268178
